metric,lower_is_better,eval_set,arm,label,n,mean,ci_lo,ci_hi
tm_score,0,eval-denovo,off,"Helico, no contacts",19,0.9140030096923035,0.8735796168057213,0.9474697653110954
tm_score,0,eval-denovo,mf_L5,"Helico + MarinFold, top-L/5",19,0.9088889545345956,0.8703194608459189,0.9420072087942636
tm_score,0,eval-denovo,mf_L2,"Helico + MarinFold, top-L/2",19,0.8528495871293112,0.7789927233045381,0.915803796663514
tm_score,0,eval-denovo,mf_L,"Helico + MarinFold, top-L",19,0.8522548844208766,0.7820170385408352,0.9119226979184857
tm_score,0,eval-denovo,v2ss,Helico + Protenix-v2 single-seq contacts,19,0.9184766465304872,0.8847773144093839,0.9470336336990626
tm_score,0,eval-denovo,v2msa,Helico + Protenix-v2 +MSA contacts,19,0.9142586946023694,0.8748330235974769,0.9462415245973593
tm_score,0,eval-denovo,oracle,Helico + oracle contacts,19,0.9450919017494089,0.9181862966635801,0.9641387444420912
tm_score,0,eval-denovo,protenix_v2_single_seq,"Protenix v2, single sequence",19,0.9217366315789475,0.8779811565789474,0.954898177631579
tm_score,0,eval-denovo,protenix_v2_msa,Protenix v2 + MSA,19,0.9094286842105263,0.8579981210526316,0.9505542368421052
tm_score,0,all-natural,off,"Helico, no contacts",305,0.43068734514614676,0.4124250734486085,0.4495662960248217
tm_score,0,all-natural,mf_L5,"Helico + MarinFold, top-L/5",305,0.6703786027270264,0.649217849874665,0.6907922599495031
tm_score,0,all-natural,mf_L2,"Helico + MarinFold, top-L/2",305,0.7089320063097378,0.6862133237461625,0.7309314637433639
tm_score,0,all-natural,mf_L,"Helico + MarinFold, top-L",305,0.7300927533742544,0.7071892145804735,0.7520317862210658
tm_score,0,all-natural,v2ss,Helico + Protenix-v2 single-seq contacts,305,0.46254746386658446,0.44211517207863577,0.48318507325931187
tm_score,0,all-natural,v2msa,Helico + Protenix-v2 +MSA contacts,305,0.9261769032113102,0.9164410347816568,0.9349526579276911
tm_score,0,all-natural,oracle,Helico + oracle contacts,305,0.9558464159090942,0.9509305697611234,0.96041560539128
tm_score,0,all-natural,protenix_v2_single_seq,"Protenix v2, single sequence",305,0.46527257377049186,0.44458840426229507,0.4862393344262296
tm_score,0,all-natural,protenix_v2_msa,Protenix v2 + MSA,305,0.9411575967213116,0.9314696296721312,0.9499514386885247
tm_score,0,all,off,"Helico, no contacts",324,0.4590299304127423,0.4377667024317498,0.4807329483138245
tm_score,0,all,mf_L5,"Helico + MarinFold, top-L/5",324,0.6843653208885814,0.6632812290687786,0.7046148859499246
tm_score,0,all,mf_L2,"Helico + MarinFold, top-L/2",324,0.7173716175306388,0.6948454100818907,0.7387922916708171
tm_score,0,all,mf_L,"Helico + MarinFold, top-L",324,0.7372565820467415,0.7145037288115618,0.7586515465555203
tm_score,0,all,v2ss,Helico + Protenix-v2 single-seq contacts,324,0.4892840517388503,0.46638799451940954,0.5123337340213686
tm_score,0,all,v2msa,Helico + Protenix-v2 +MSA contacts,324,0.9254779959163414,0.9161735719014453,0.9341803987001134
tm_score,0,all,oracle,Helico + oracle contacts,324,0.9552157499552856,0.950351340822591,0.959822631408161
tm_score,0,all,protenix_v2_single_seq,"Protenix v2, single sequence",324,0.4920405277777778,0.46893736064814817,0.5151484206018518
tm_score,0,all,protenix_v2_msa,Protenix v2 + MSA,324,0.9392969506172839,0.9297289770061729,0.9479470482253085
gdt_ts,0,eval-val,off,"Helico, no contacts",95,0.13557014067715206,0.10136802199314736,0.17373047844791786
