target_id,eval_set,L,precision_L,n_pairs_L,n_unmapped_L,precision_L2,n_pairs_L2,n_unmapped_L2,precision_L5,n_pairs_L5,n_unmapped_L5
8ycm_A,eval-val,229,0.419214,229,0,0.552632,114,0,0.755556,45,0
7xq4_A,eval-val,514,0.470817,514,0,0.712062,257,0,0.901961,102,0
7xrx_A,eval-val,398,0.505025,398,0,0.648241,199,0,0.810127,79,0
7xjr_A,eval-val,337,0.581602,337,0,0.803571,168,0,0.940299,67,0
7xyr_A,eval-val,591,0.737733,591,0,0.918644,295,0,0.974576,118,0
7xz3_A,eval-val,325,0.141538,325,0,0.216049,162,0,0.384615,65,0
7y4h_A,eval-val,338,0.559172,338,0,0.816568,169,0,0.940299,67,0
7y54_A,eval-val,100,0.84,100,0,1.0,50,0,1.0,20,0
7y5m_A,eval-val,170,0.505882,170,0,0.764706,85,0,0.882353,34,0
7y5r_A,eval-val,105,0.72381,105,0,0.903846,52,0,1.0,21,0
7y8h_A,eval-val,100,0.68,100,0,0.92,50,0,1.0,20,0
7y8i_A,eval-val,97,0.742268,97,0,0.958333,48,0,1.0,19,0
7y5j_A,eval-val,102,0.72549,102,0,0.882353,51,0,0.9,20,0
7yd4_A,eval-val,185,0.172973,185,0,0.195652,92,0,0.297297,37,0
7yhr_A,eval-val,60,0.35,60,0,0.466667,30,0,0.833333,12,0
7ykm_A,eval-val,105,0.485714,105,0,0.75,52,0,0.952381,21,0
7ylr_A,eval-val,330,0.745455,330,0,0.927273,165,0,1.0,66,0
8gmy_A,eval-val,236,0.360169,236,0,0.59322,118,0,0.787234,47,0
7yug_A,eval-val,118,0.271186,118,0,0.457627,59,0,0.652174,23,0
7yyg_A,eval-val,365,0.189041,365,0,0.263736,182,0,0.260274,73,0
7z65_A,eval-val,283,0.583039,283,0,0.815603,141,0,0.964286,56,0
7znz_A,eval-val,761,0.525624,761,0,0.686842,380,0,0.855263,152,0
7zoi_A,eval-val,151,0.556291,151,0,0.8,75,0,0.966667,30,0
7zs2_A,eval-val,316,0.572785,316,0,0.829114,158,0,0.984127,63,0
7zu3_A,eval-val,132,0.333333,132,0,0.484848,66,0,0.423077,26,0
7zv1_A,eval-val,136,0.389706,136,0,0.588235,68,0,0.851852,27,0
8adc_A,eval-val,215,0.297674,215,0,0.336449,107,0,0.372093,43,0
8add_A,eval-val,213,0.187793,213,0,0.198113,106,0,0.309524,42,0
8akh_A,eval-val,374,0.585561,374,0,0.786096,187,0,0.972973,74,0
8ak2_A,eval-val,297,0.713805,297,0,0.945946,148,0,0.983051,59,0
8arl_A,eval-val,246,0.056911,246,0,0.081301,123,0,0.122449,49,0
8q8i_A,eval-val,282,0.606383,282,0,0.758865,141,0,0.928571,56,0
8au6_A,eval-val,321,0.327103,321,0,0.5,160,0,0.671875,64,0
8axj_A,eval-val,162,0.666667,162,0,0.938272,81,0,1.0,32,0
8azb_A,eval-val,521,0.800384,521,0,0.946154,260,0,1.0,104,0
8b2e_A,eval-val,143,0.545455,143,0,0.802817,71,0,0.821429,28,0
8b2g_A,eval-val,74,0.662162,74,0,0.783784,37,0,1.0,14,0
8b2s_A,eval-val,245,0.563265,245,0,0.770492,122,0,0.938776,49,0
8b4u_A,eval-val,277,0.841155,277,0,0.971014,138,0,1.0,55,0
8b5w_A,eval-val,459,0.145969,459,0,0.196507,229,0,0.21978,91,0
8b61_A,eval-val,238,0.39916,238,0,0.596639,119,0,0.723404,47,0
8b6a_A,eval-val,214,0.570093,214,0,0.813084,107,0,0.928571,42,0
8b6e_A,eval-val,66,0.575758,66,0,0.878788,33,0,1.0,13,0
8baq_A,eval-val,208,0.442308,208,0,0.730769,104,0,0.926829,41,0
8bau_A,eval-val,189,0.719577,189,0,0.957447,94,0,0.972973,37,0
8bfy_A,eval-val,426,0.556338,426,0,0.765258,213,0,0.917647,85,0
8bgb_A,eval-val,131,0.687023,131,0,0.892308,65,0,0.961538,26,0
8bke_A,eval-val,638,0.557994,638,0,0.777429,319,0,0.929134,127,0
8bsb_A,eval-val,177,0.502825,177,0,0.772727,88,0,0.942857,35,0
8bux_A,eval-val,334,0.077844,334,0,0.113772,167,0,0.151515,66,0
8c4d_A,eval-val,330,0.490909,330,0,0.660606,165,0,0.848485,66,0
7xlz_A,eval-val,266,0.650376,266,0,0.864662,133,0,0.981132,53,0
8c4y_A,eval-val,314,0.799363,314,0,0.942675,157,0,1.0,62,0
8cba_A,eval-val,214,0.172897,214,0,0.28972,107,0,0.404762,42,0
8ci9_A,eval-val,312,0.608974,312,0,0.846154,156,0,0.967742,62,0
8cih_A,eval-val,214,0.285047,214,0,0.411215,107,0,0.595238,42,0
8amo_A,eval-val,399,0.681704,399,0,0.889447,199,0,1.0,79,0
8cpk_A,eval-val,384,0.596354,384,0,0.828125,192,0,0.934211,76,0
8cpn_A,eval-val,207,0.256039,207,0,0.446602,103,0,0.682927,41,0
8d2z_A,eval-val,327,0.663609,327,0,0.858896,163,0,0.953846,65,0
8daj_A,eval-val,302,0.665563,302,0,0.900662,151,0,0.983333,60,0
8dez_A,eval-val,173,0.265896,173,0,0.290698,86,0,0.558824,34,0
8dge_A,eval-val,738,0.601626,738,0,0.807588,369,0,0.938776,147,0
8dhj_A,eval-val,249,0.783133,249,0,0.903226,124,0,0.979592,49,0
8dmu_A,eval-val,489,0.151329,489,0,0.25,244,0,0.329897,97,0
8dp9_A,eval-val,148,0.716216,148,0,0.932432,74,0,0.896552,29,0
8dqd_A,eval-val,377,0.708223,377,0,0.930851,188,0,0.986667,75,0
8dx0_A,eval-val,154,0.74026,154,0,0.935065,77,0,0.933333,30,0
8e0r_A,eval-val,468,0.200855,468,0,0.230769,234,0,0.408602,93,0
8e5h_A,eval-val,372,0.513441,372,0,0.741935,186,0,0.945946,74,0
8eb9_A,eval-val,95,0.178947,95,0,0.255319,47,0,0.368421,19,0
8ec3_A,eval-val,168,0.220238,168,0,0.22619,84,0,0.090909,33,0
8eo5_A,eval-val,290,0.744828,290,0,0.944828,145,0,1.0,58,0
