stem,L,recipe,n_label,n_requested,n_got,n_true,precision,recall
7xyr_A,591,single,L/5,118,118,707,0.5084745762711864,0.08486562942008487
7xyr_A,591,single,L/2,295,295,707,0.5559322033898305,0.23196605374823195
7xyr_A,591,single,L,591,591,707,0.5651438240270727,0.4724186704384724
7xz3_A,325,rollout,L/5,65,65,316,0.38461538461538464,0.07911392405063292
7xz3_A,325,rollout,L/2,162,162,316,0.18518518518518517,0.0949367088607595
7xz3_A,325,rollout,L,325,325,316,0.12923076923076923,0.13291139240506328
7xz3_A,325,single,L/5,65,65,316,0.1076923076923077,0.022151898734177215
7xz3_A,325,single,L/2,162,162,316,0.12345679012345678,0.06329113924050633
7xz3_A,325,single,L,325,325,316,0.09846153846153846,0.10126582278481013
7y3h_A,413,rollout,L/5,82,82,312,0.975609756097561,0.2564102564102564
7y3h_A,413,rollout,L/2,206,206,312,0.8349514563106796,0.5512820512820513
7y3h_A,413,rollout,L,413,413,312,0.5544794188861986,0.7339743589743589
7y3h_A,413,single,L/5,82,82,312,0.36585365853658536,0.09615384615384616
7y3h_A,413,single,L/2,206,206,312,0.4077669902912621,0.2692307692307692
7y3h_A,413,single,L,413,341,312,0.436950146627566,0.4775641025641026
7y4h_A,338,rollout,L/5,67,67,320,0.9402985074626866,0.196875
7y4h_A,338,rollout,L/2,169,169,320,0.7869822485207101,0.415625
7y4h_A,338,rollout,L,338,338,320,0.5650887573964497,0.596875
7y4h_A,338,single,L/5,67,67,320,0.5074626865671642,0.10625
7y4h_A,338,single,L/2,169,169,320,0.4437869822485207,0.234375
7y4h_A,338,single,L,338,338,320,0.3994082840236686,0.421875
7y54_A,100,rollout,L/5,20,20,105,1.0,0.19047619047619047
7y54_A,100,rollout,L/2,50,50,105,0.96,0.45714285714285713
7y54_A,100,rollout,L,100,100,105,0.85,0.8095238095238095
7y54_A,100,single,L/5,20,20,105,0.8,0.1523809523809524
7y54_A,100,single,L/2,50,50,105,0.8,0.38095238095238093
7y54_A,100,single,L,100,93,105,0.7741935483870968,0.6857142857142857
7y5j_A,102,rollout,L/5,20,20,91,0.95,0.2087912087912088
7y5j_A,102,rollout,L/2,51,51,91,0.9411764705882353,0.5274725274725275
7y5j_A,102,rollout,L,102,102,91,0.7352941176470589,0.8241758241758241
7y5j_A,102,single,L/5,20,20,91,0.65,0.14285714285714285
7y5j_A,102,single,L/2,51,51,91,0.7647058823529411,0.42857142857142855
7y5j_A,102,single,L,102,94,91,0.7446808510638298,0.7692307692307693
7y5m_A,170,rollout,L/5,34,34,148,0.9411764705882353,0.21621621621621623
7y5m_A,170,rollout,L/2,85,85,148,0.8,0.4594594594594595
7y5m_A,170,rollout,L,170,170,148,0.5529411764705883,0.6351351351351351
7y5m_A,170,single,L/5,34,34,148,0.5882352941176471,0.13513513513513514
7y5m_A,170,single,L/2,85,85,148,0.6235294117647059,0.3581081081081081
7y5m_A,170,single,L,170,124,148,0.5725806451612904,0.4797297297297297
7y5r_A,105,rollout,L/5,21,21,97,1.0,0.21649484536082475
7y5r_A,105,rollout,L/2,52,52,97,0.9230769230769231,0.4948453608247423
7y5r_A,105,rollout,L,105,105,97,0.7333333333333333,0.7938144329896907
7y5r_A,105,single,L/5,21,21,97,0.7619047619047619,0.16494845360824742
7y5r_A,105,single,L/2,52,52,97,0.75,0.4020618556701031
7y5r_A,105,single,L,105,102,97,0.7352941176470589,0.7731958762886598
7y8h_A,100,rollout,L/5,20,20,83,1.0,0.24096385542168675
7y8h_A,100,rollout,L/2,50,50,83,0.94,0.5662650602409639
7y8h_A,100,rollout,L,100,100,83,0.68,0.8192771084337349
7y8h_A,100,single,L/5,20,20,83,0.8,0.1927710843373494
7y8h_A,100,single,L/2,50,50,83,0.78,0.46987951807228917
7y8h_A,100,single,L,100,85,83,0.7411764705882353,0.7590361445783133
7y8i_A,97,rollout,L/5,19,19,83,0.9473684210526315,0.21686746987951808
7y8i_A,97,rollout,L/2,48,48,83,0.8958333333333334,0.5180722891566265
7y8i_A,97,rollout,L,97,97,83,0.711340206185567,0.8313253012048193
7y8i_A,97,single,L/5,19,19,83,0.5263157894736842,0.12048192771084337
7y8i_A,97,single,L/2,48,48,83,0.6041666666666666,0.3493975903614458
7y8i_A,97,single,L,97,97,83,0.6185567010309279,0.7228915662650602
7yd4_A,185,rollout,L/5,37,37,142,0.2702702702702703,0.07042253521126761
7yd4_A,185,rollout,L/2,92,92,142,0.2608695652173913,0.16901408450704225
7yd4_A,185,rollout,L,185,185,142,0.20540540540540542,0.2676056338028169
7yd4_A,185,single,L/5,37,37,142,0.10810810810810811,0.028169014084507043
7yd4_A,185,single,L/2,92,92,142,0.05434782608695652,0.035211267605633804
7yd4_A,185,single,L,185,136,142,0.058823529411764705,0.056338028169014086
7yhr_A,60,rollout,L/5,12,12,41,0.5833333333333334,0.17073170731707318
7yhr_A,60,rollout,L/2,30,30,41,0.43333333333333335,0.3170731707317073
7yhr_A,60,rollout,L,60,60,41,0.31666666666666665,0.4634146341463415
7yhr_A,60,single,L/5,12,12,41,0.4166666666666667,0.12195121951219512
7yhr_A,60,single,L/2,30,15,41,0.4,0.14634146341463414
7yhr_A,60,single,L,60,15,41,0.4,0.14634146341463414
7ykm_A,105,rollout,L/5,21,21,55,0.9047619047619048,0.34545454545454546
7ykm_A,105,rollout,L/2,52,52,55,0.7307692307692307,0.6909090909090909
7ykm_A,105,rollout,L,105,105,55,0.4857142857142857,0.9272727272727272
7ykm_A,105,single,L/5,21,21,55,0.8095238095238095,0.3090909090909091
7ykm_A,105,single,L/2,52,52,55,0.6730769230769231,0.6363636363636364
7ykm_A,105,single,L,105,70,55,0.6285714285714286,0.8
7ylr_A,330,rollout,L/5,66,66,364,1.0,0.1813186813186813
7ylr_A,330,rollout,L/2,165,165,364,0.9636363636363636,0.4368131868131868
7ylr_A,330,rollout,L,330,330,364,0.796969696969697,0.7225274725274725
7ylr_A,330,single,L/5,66,66,364,0.6363636363636364,0.11538461538461539
7ylr_A,330,single,L/2,165,165,364,0.6909090909090909,0.3131868131868132
7ylr_A,330,single,L,330,330,364,0.6727272727272727,0.6098901098901099
7yug_A,118,rollout,L/5,23,23,94,0.6956521739130435,0.1702127659574468
7yug_A,118,rollout,L/2,59,59,94,0.4406779661016949,0.2765957446808511
7yug_A,118,rollout,L,118,118,94,0.2796610169491525,0.35106382978723405
7yug_A,118,single,L/5,23,23,94,0.2608695652173913,0.06382978723404255
7yug_A,118,single,L/2,59,59,94,0.3050847457627119,0.19148936170212766
7yug_A,118,single,L,118,71,94,0.323943661971831,0.24468085106382978
7yyg_A,365,rollout,L/5,73,73,221,0.3835616438356164,0.12669683257918551
7yyg_A,365,rollout,L/2,182,182,221,0.2802197802197802,0.23076923076923078
7yyg_A,365,rollout,L,365,365,221,0.18904109589041096,0.31221719457013575
7yyg_A,365,single,L/5,73,73,221,0.1643835616438356,0.05429864253393665
7yyg_A,365,single,L/2,182,182,221,0.13186813186813187,0.1085972850678733
7yyg_A,365,single,L,365,210,221,0.11904761904761904,0.11312217194570136
7z65_A,283,rollout,L/5,56,56,320,0.9464285714285714,0.165625
7z65_A,283,rollout,L/2,141,141,320,0.7659574468085106,0.3375
7z65_A,283,rollout,L,283,283,320,0.6042402826855123,0.534375
7z65_A,283,single,L/5,56,56,320,0.5,0.0875
7z65_A,283,single,L/2,141,141,320,0.524822695035461,0.23125
7z65_A,283,single,L,283,283,320,0.4734982332155477,0.41875
7znz_A,761,rollout,L/5,152,152,932,0.9342105263157895,0.15236051502145923
7znz_A,761,rollout,L/2,380,380,932,0.8552631578947368,0.3487124463519313
7znz_A,761,rollout,L,761,761,932,0.6754270696452037,0.5515021459227468
7znz_A,761,single,L/5,152,152,932,0.29605263157894735,0.048283261802575105
7znz_A,761,single,L/2,380,380,932,0.32894736842105265,0.13412017167381973
7znz_A,761,single,L,761,761,932,0.33508541392904073,0.27360515021459225
7zoi_A,151,rollout,L/5,30,30,110,1.0,0.2727272727272727
7zoi_A,151,rollout,L/2,75,75,110,0.8666666666666667,0.5909090909090909
7zoi_A,151,rollout,L,151,151,110,0.6291390728476821,0.8636363636363636
7zoi_A,151,single,L/5,30,30,110,0.6666666666666666,0.18181818181818182
7zoi_A,151,single,L/2,75,75,110,0.64,0.43636363636363634
7zoi_A,151,single,L,151,125,110,0.632,0.7181818181818181
7zs2_A,316,rollout,L/5,63,63,223,0.9682539682539683,0.273542600896861
7zs2_A,316,rollout,L/2,158,158,223,0.8481012658227848,0.600896860986547
7zs2_A,316,rollout,L,316,316,223,0.5727848101265823,0.8116591928251121
7zs2_A,316,single,L/5,63,63,223,0.5555555555555556,0.15695067264573992
7zs2_A,316,single,L/2,158,158,223,0.5253164556962026,0.3721973094170404
7zs2_A,316,single,L,316,233,223,0.5536480686695279,0.57847533632287
7zu3_A,132,rollout,L/5,26,26,92,0.6153846153846154,0.17391304347826086
7zu3_A,132,rollout,L/2,66,66,92,0.4090909090909091,0.29347826086956524
7zu3_A,132,rollout,L,132,132,92,0.25,0.358695652173913
7zu3_A,132,single,L/5,26,26,92,0.11538461538461539,0.03260869565217391
7zu3_A,132,single,L/2,66,66,92,0.2878787878787879,0.20652173913043478
7zu3_A,132,single,L,132,109,92,0.3119266055045872,0.3695652173913043
7zv1_A,136,rollout,L/5,27,27,111,0.9259259259259259,0.22522522522522523
7zv1_A,136,rollout,L/2,68,68,111,0.6176470588235294,0.3783783783783784
7zv1_A,136,rollout,L,136,136,111,0.4632352941176471,0.5675675675675675
7zv1_A,136,single,L/5,27,27,111,0.4074074074074074,0.0990990990990991
7zv1_A,136,single,L/2,68,68,111,0.29411764705882354,0.18018018018018017
7zv1_A,136,single,L,136,93,111,0.26881720430107525,0.22522522522522523
8adc_A,215,rollout,L/5,43,43,170,0.46511627906976744,0.11764705882352941
8adc_A,215,rollout,L/2,107,107,170,0.37383177570093457,0.23529411764705882
8adc_A,215,rollout,L,215,215,170,0.28837209302325584,0.36470588235294116
8adc_A,215,single,L/5,43,43,170,0.18604651162790697,0.047058823529411764
8adc_A,215,single,L/2,107,107,170,0.17757009345794392,0.11176470588235295
8adc_A,215,single,L,215,158,170,0.17088607594936708,0.1588235294117647
8add_A,213,rollout,L/5,42,42,210,0.4523809523809524,0.09047619047619047
8add_A,213,rollout,L/2,106,106,210,0.2830188679245283,0.14285714285714285
8add_A,213,rollout,L,213,213,210,0.2300469483568075,0.23333333333333334
8add_A,213,single,L/5,42,42,210,0.09523809523809523,0.01904761904761905
8add_A,213,single,L/2,106,106,210,0.09433962264150944,0.047619047619047616
8add_A,213,single,L,213,203,210,0.08866995073891626,0.08571428571428572
8ah9_A,120,rollout,L/5,24,24,132,1.0,0.18181818181818182
8ah9_A,120,rollout,L/2,60,60,132,1.0,0.45454545454545453
8ah9_A,120,rollout,L,120,120,132,0.925,0.8409090909090909
8ah9_A,120,single,L/5,24,24,132,0.9166666666666666,0.16666666666666666
8ah9_A,120,single,L/2,60,60,132,0.8333333333333334,0.3787878787878788
8ah9_A,120,single,L,120,120,132,0.85,0.7727272727272727
8ak2_A,297,rollout,L/5,59,59,314,1.0,0.18789808917197454
8ak2_A,297,rollout,L/2,148,148,314,0.972972972972973,0.4585987261146497
8ak2_A,297,rollout,L,297,297,314,0.7777777777777778,0.7356687898089171
8ak2_A,297,single,L/5,59,59,314,0.7457627118644068,0.14012738853503184
8ak2_A,297,single,L/2,148,148,314,0.6351351351351351,0.29936305732484075
8ak2_A,297,single,L,297,283,314,0.6713780918727915,0.6050955414012739
8akh_A,374,rollout,L/5,74,74,321,0.918918918918919,0.2118380062305296
8akh_A,374,rollout,L/2,187,187,321,0.7967914438502673,0.46417445482866043
8akh_A,374,rollout,L,374,374,321,0.606951871657754,0.7071651090342679
8akh_A,374,single,L/5,74,74,321,0.2972972972972973,0.06853582554517133
8akh_A,374,single,L/2,187,187,321,0.4117647058823529,0.2398753894080997
8akh_A,374,single,L,374,374,321,0.4625668449197861,0.5389408099688473
8amo_A,399,rollout,L/5,79,79,362,1.0,0.21823204419889503
